Date,Price,Open,High,Low,Vol. ('000),Change %
08/26/2016,198.0,195.0,199.0,195.0,6790.0,1.54%
08/29/2016,197.5,198.5,198.5,196.0,5830.0,-0.25%
08/30/2016,198.0,198.5,198.5,197.0,5260.0,0.25%
08/31/2016,197.5,197.5,198.5,196.5,6000.0,-0.25%
09/01/2016,199.0,199.0,199.5,197.5,13020.0,0.76%
09/02/2016,193.0,198.5,199.0,192.5,15140.0,-3.02%
09/05/2016,189.0,194.5,195.0,188.0,11940.0,-2.07%
09/06/2016,189.0,188.5,190.5,188.0,6620.0,0.00%
09/07/2016,190.0,190.0,192.5,189.0,10310.0,0.53%
09/08/2016,188.0,190.5,191.0,187.0,13140.0,-1.05%
09/09/2016,185.5,188.0,188.5,184.5,9240.0,-1.33%
09/12/2016,180.0,183.5,186.5,180.0,14710.0,-2.96%
09/13/2016,186.0,183.5,187.5,182.5,14600.0,3.33%
09/14/2016,189.0,185.5,189.0,185.0,9440.0,1.61%
09/15/2016,188.0,190.0,190.0,187.0,7900.0,-0.53%
09/16/2016,187.5,189.5,189.5,186.0,27450.0,-0.27%
09/19/2016,188.0,189.0,190.0,186.5,6230.0,0.27%
09/20/2016,185.5,186.5,186.5,185.0,5870.0,-1.33%
09/21/2016,188.5,186.0,190.0,186.0,7580.0,1.62%
09/22/2016,191.0,191.5,192.0,190.5,9430.0,1.33%
09/23/2016,187.5,191.0,191.0,186.5,6790.0,-1.83%
09/26/2016,189.0,185.5,189.5,185.5,5600.0,0.80%
09/27/2016,188.0,190.0,190.0,187.5,5520.0,-0.53%
09/28/2016,186.5,187.5,188.0,185.5,4510.0,-0.80%
09/29/2016,189.0,188.0,190.0,187.5,6940.0,1.34%
09/30/2016,187.5,187.0,189.0,186.5,5620.0,-0.79%
10/03/2016,188.0,190.0,190.0,187.5,4810.0,0.27%
10/04/2016,195.0,189.0,197.0,188.5,16700.0,3.72%
10/05/2016,193.0,195.0,195.0,192.5,10160.0,-1.03%
10/06/2016,194.0,194.0,196.0,193.0,7150.0,0.52%
10/07/2016,192.0,193.5,193.5,191.0,5390.0,-1.03%
10/10/2016,185.5,186.5,189.0,184.0,12460.0,-3.39%
10/11/2016,185.0,186.5,187.5,182.5,9940.0,-0.27%
10/12/2016,182.0,183.0,183.0,169.0,26860.0,-1.62%
10/13/2016,187.0,180.0,187.0,177.0,20120.0,2.75%
10/14/2016,189.5,195.0,196.0,187.0,31420.0,1.34%
10/17/2016,179.5,181.0,182.0,178.5,42670.0,-5.28%
10/18/2016,176.0,179.5,179.5,176.0,20320.0,-1.95%
10/19/2016,176.5,175.0,177.5,175.0,21460.0,0.28%
10/20/2016,178.5,177.0,179.5,176.0,15270.0,1.13%
10/21/2016,176.5,178.0,178.5,176.5,8830.0,-1.12%
10/25/2016,175.0,176.5,177.0,173.5,13770.0,-0.85%
10/26/2016,172.0,174.5,175.0,172.0,11700.0,-1.71%
10/27/2016,173.0,172.0,174.0,171.5,10890.0,0.58%
10/28/2016,172.0,173.0,173.5,171.0,7210.0,-0.58%
10/31/2016,172.0,172.0,173.5,171.5,8450.0,0.00%
11/01/2016,170.5,172.5,173.0,170.0,11330.0,-0.87%
11/02/2016,170.0,170.0,170.5,169.0,10810.0,-0.29%
11/03/2016,167.0,169.5,170.0,167.0,9740.0,-1.76%
11/04/2016,166.5,166.0,167.5,165.5,10120.0,-0.30%
11/07/2016,170.0,168.0,171.0,168.0,12620.0,2.10%
11/08/2016,171.5,170.5,171.5,169.0,10630.0,0.88%
11/09/2016,170.5,169.0,170.5,167.5,13720.0,-0.58%
11/10/2016,172.0,171.5,174.0,171.0,10260.0,0.88%
11/11/2016,169.5,170.0,170.0,168.5,7880.0,-1.45%
11/14/2016,168.0,167.0,168.0,165.5,7920.0,-0.88%
11/15/2016,168.0,168.0,169.0,166.0,7850.0,0.00%
11/16/2016,166.5,168.0,168.5,166.5,5990.0,-0.89%
11/17/2016,170.0,167.0,170.0,167.0,6320.0,2.10%
11/18/2016,170.0,169.5,171.5,169.0,7110.0,0.00%
11/21/2016,170.0,170.0,171.0,169.5,3030.0,0.00%
11/22/2016,170.0,171.0,171.5,170.0,2040.0,0.00%
11/23/2016,171.5,171.0,172.0,170.5,3700.0,0.88%
11/24/2016,169.5,170.5,171.0,169.5,3630.0,-1.17%
11/25/2016,171.5,170.5,171.5,169.5,3040.0,1.18%
11/28/2016,170.5,171.0,171.5,170.0,2550.0,-0.58%
11/29/2016,169.0,171.5,172.0,169.0,5290.0,-0.88%
11/30/2016,169.5,168.5,171.5,168.5,4730.0,0.30%
12/01/2016,170.0,171.0,171.0,169.5,6530.0,0.29%
12/02/2016,170.0,169.5,170.0,169.0,3480.0,0.00%
12/06/2016,169.0,169.0,170.0,167.5,4540.0,-0.59%
12/07/2016,171.0,168.5,171.5,168.5,6190.0,1.18%
12/08/2016,174.0,172.0,175.0,172.0,10730.0,1.75%
12/09/2016,174.0,175.5,175.5,173.5,5850.0,0.00%
12/13/2016,173.0,173.0,173.5,171.5,7950.0,-0.57%
12/14/2016,171.0,172.0,172.5,170.0,5300.0,-1.16%
12/15/2016,170.0,169.5,171.0,169.5,7820.0,-0.58%
12/16/2016,170.0,170.5,172.5,170.0,3280.0,0.00%
12/19/2016,171.0,169.0,171.0,169.0,7090.0,0.59%
12/20/2016,171.0,170.5,172.0,170.0,3260.0,0.00%
12/21/2016,171.0,171.5,172.0,170.5,2790.0,0.00%
12/22/2016,172.0,171.0,172.0,170.5,2830.0,0.58%
12/23/2016,173.0,172.5,174.0,171.5,4700.0,0.58%
12/26/2016,174.0,173.5,174.5,173.5,2830.0,0.58%
12/27/2016,175.0,174.0,175.5,173.5,3560.0,0.57%
12/28/2016,174.5,175.0,175.5,174.0,1980.0,-0.29%
12/29/2016,176.0,174.5,177.0,174.0,5560.0,0.86%
12/30/2016,177.5,177.0,177.5,176.0,6350.0,0.85%
01/04/2017,182.0,180.0,182.0,179.5,14900.0,2.54%
01/05/2017,183.5,182.0,183.5,181.5,9020.0,0.82%
01/06/2017,183.0,183.0,184.5,182.0,7050.0,-0.27%
01/09/2017,186.0,184.0,186.0,183.0,10700.0,1.64%
01/10/2017,189.0,186.5,190.5,186.0,11800.0,1.61%
01/11/2017,190.5,190.5,191.0,188.5,7540.0,0.79%
01/12/2017,188.5,190.5,191.0,188.0,7200.0,-1.05%
01/13/2017,187.5,189.0,189.0,186.5,4790.0,-0.53%
01/16/2017,185.5,186.5,187.5,184.0,5010.0,-1.07%
01/17/2017,185.0,185.0,187.0,185.0,3500.0,-0.27%
01/18/2017,185.0,187.0,188.0,185.0,4250.0,0.00%
01/19/2017,182.0,184.0,184.0,181.5,6410.0,-1.62%
01/20/2017,184.0,181.5,187.5,181.0,6360.0,1.10%
01/23/2017,186.0,184.5,186.0,184.0,5520.0,1.09%
01/24/2017,187.0,186.0,188.5,186.0,4490.0,0.54%
01/25/2017,191.0,188.0,191.0,188.0,7750.0,2.14%
01/26/2017,190.0,193.0,193.5,189.0,8040.0,-0.52%
01/27/2017,187.5,189.0,189.5,187.0,4990.0,-1.32%
01/30/2017,189.0,187.0,189.0,186.5,1730.0,0.80%
01/31/2017,188.5,188.5,188.5,187.0,4290.0,-0.26%
02/01/2017,191.0,187.0,191.5,187.0,7890.0,1.33%
02/02/2017,189.5,191.5,191.5,189.0,3890.0,-0.79%
02/03/2017,191.0,189.5,192.0,189.0,4910.0,0.79%
02/06/2017,195.5,192.0,196.0,191.5,9430.0,2.36%
02/07/2017,195.5,195.0,196.0,194.5,5610.0,0.00%
02/08/2017,195.5,195.0,196.5,194.5,5140.0,0.00%
02/09/2017,198.5,195.5,199.0,195.5,7160.0,1.53%
02/10/2017,198.0,199.5,201.0,196.5,12730.0,-0.25%
02/14/2017,194.5,199.5,199.5,194.0,5910.0,-1.77%
02/15/2017,193.0,193.5,195.0,191.0,6950.0,-0.77%
02/16/2017,195.0,193.0,196.5,191.5,5710.0,1.04%
02/17/2017,197.5,195.5,197.5,195.5,2250.0,1.28%
02/20/2017,197.0,197.5,197.5,194.0,2780.0,-0.25%
02/21/2017,193.0,196.5,197.0,191.5,7880.0,-2.03%
02/22/2017,193.0,193.0,194.5,191.0,6210.0,0.00%
02/23/2017,190.5,192.0,193.0,190.0,7760.0,-1.30%
02/24/2017,189.5,190.5,191.0,189.5,4600.0,-0.52%
02/27/2017,187.5,189.0,189.5,187.5,5640.0,-1.06%
02/28/2017,191.5,189.0,191.5,188.5,3660.0,2.13%
03/01/2017,195.0,192.5,195.0,192.0,4290.0,1.83%
03/02/2017,196.0,195.5,196.5,195.0,5800.0,0.51%
03/03/2017,195.0,196.0,196.0,194.0,2160.0,-0.51%
03/06/2017,192.0,194.0,194.5,191.5,3060.0,-1.54%
03/07/2017,192.0,192.0,193.0,191.0,2550.0,0.00%
03/08/2017,192.0,191.0,192.5,189.0,5130.0,0.00%
03/09/2017,190.0,191.5,191.5,189.5,4520.0,-1.04%
03/10/2017,190.0,190.0,192.0,189.0,4390.0,0.00%
03/13/2017,189.0,189.5,190.0,188.0,4860.0,-0.53%
03/14/2017,190.0,190.0,191.5,189.5,6980.0,0.53%
03/15/2017,189.5,189.5,190.5,189.0,2980.0,-0.26%
03/16/2017,192.5,190.5,193.5,190.0,8960.0,1.58%
03/17/2017,193.0,193.0,193.5,192.0,4320.0,0.26%
03/20/2017,192.0,193.5,194.5,191.5,6730.0,-0.52%
03/21/2017,193.0,192.0,193.0,191.5,3980.0,0.52%
03/22/2017,190.5,191.0,192.0,190.5,4980.0,-1.30%
03/23/2017,191.0,191.5,192.5,191.0,3630.0,0.26%
03/24/2017,191.0,191.0,191.5,190.0,3190.0,0.00%
03/27/2017,191.0,191.0,192.0,191.0,4240.0,0.00%
03/28/2017,192.0,192.0,193.5,191.0,5760.0,0.52%
03/29/2017,192.5,192.5,193.0,192.0,4060.0,0.26%
03/30/2017,191.0,193.0,193.0,191.0,6820.0,-0.78%
03/31/2017,189.0,192.0,192.0,189.0,7720.0,-1.05%
04/03/2017,190.5,189.5,191.0,189.0,2600.0,0.79%
04/04/2017,192.5,190.5,193.0,190.5,3050.0,1.05%
04/05/2017,193.5,192.5,193.5,192.0,3430.0,0.52%
04/07/2017,193.5,191.0,193.5,190.5,5300.0,0.00%
04/10/2017,193.5,193.5,193.5,192.0,1920.0,0.00%
04/11/2017,195.5,193.5,197.0,193.0,6910.0,1.03%
04/12/2017,195.0,196.0,197.0,195.0,3290.0,-0.26%
04/17/2017,193.5,194.5,195.0,193.0,1440.0,-0.77%
04/18/2017,192.5,194.0,195.5,192.0,3940.0,-0.52%
04/19/2017,186.0,192.0,193.0,186.0,8850.0,-3.38%
04/20/2017,188.5,187.0,190.0,186.0,8360.0,1.34%
04/21/2017,189.0,189.0,190.0,188.5,4060.0,0.27%
04/24/2017,185.5,189.0,189.5,184.5,8450.0,-1.85%
04/25/2017,185.0,186.0,186.5,184.0,9010.0,-0.27%
04/26/2017,185.0,185.5,186.0,184.0,8090.0,0.00%
04/27/2017,183.5,184.5,185.5,183.5,3990.0,-0.81%
04/28/2017,185.0,184.5,185.5,184.0,5640.0,0.82%
05/02/2017,187.0,186.0,189.0,185.0,8270.0,1.08%
05/03/2017,189.0,187.5,189.5,187.0,3260.0,1.07%
05/04/2017,193.0,190.0,193.0,190.0,8480.0,2.12%
05/05/2017,192.0,191.5,193.0,191.0,4080.0,-0.52%
05/08/2017,192.5,192.5,193.5,191.5,4050.0,0.26%
05/09/2017,193.0,193.0,194.0,191.0,3280.0,0.26%
05/11/2017,189.5,191.0,191.0,188.5,9320.0,-1.81%
05/12/2017,189.5,189.0,189.5,187.0,8400.0,0.00%
05/15/2017,185.0,189.5,190.0,184.5,8240.0,-2.37%
05/16/2017,182.5,184.0,184.0,182.5,14500.0,-1.35%
05/17/2017,185.0,182.5,186.0,182.5,6610.0,1.37%
05/18/2017,185.0,184.0,185.5,184.0,3130.0,0.00%
05/19/2017,187.0,185.0,188.0,185.0,5710.0,1.08%
05/22/2017,190.5,188.0,191.0,187.5,6900.0,1.87%
05/23/2017,191.5,190.5,191.5,189.0,4390.0,0.52%
05/24/2017,190.5,191.5,191.5,189.5,5030.0,-0.52%
05/25/2017,190.0,192.0,192.0,190.0,3430.0,-0.26%
