Date,Open,High,Low,Close,Volume
2016-08-26,171.5,173.5,170.0,171.0,6820000.0
2016-08-29,170.5,171.0,166.0,166.5,13230000.0
2016-08-30,167.0,168.5,165.5,166.0,6630000.0
2016-08-31,166.5,167.5,164.5,165.5,10040000.0
2016-09-01,165.0,166.0,164.0,164.5,5340000.0
2016-09-02,165.0,165.0,163.5,164.0,6050000.0
2016-09-05,165.5,167.0,160.5,163.0,11140000.0
2016-09-06,162.0,163.5,162.0,162.5,7610000.0
2016-09-07,163.0,164.0,160.0,160.0,7830000.0
2016-09-08,160.0,161.0,156.0,158.0,16850000.0
2016-09-09,158.5,159.0,155.5,156.5,8510000.0
2016-09-12,154.0,156.0,153.0,153.0,9520000.0
2016-09-13,155.0,158.0,155.0,158.0,7270000.0
2016-09-14,157.5,159.0,156.5,158.0,5800000.0
2016-09-15,158.0,162.0,157.5,160.5,8350000.0
2016-09-16,162.0,165.5,162.0,165.0,13780000.0
2016-09-19,166.0,168.0,165.0,166.0,11110000.0
2016-09-20,166.0,166.0,162.0,163.0,8540000.0
2016-09-21,163.5,165.0,162.0,163.0,8470000.0
2016-09-22,165.0,165.5,163.0,163.0,8690000.0
2016-09-23,163.5,163.5,161.0,162.5,6890000.0
2016-09-26,161.0,162.5,160.5,161.5,5510000.0
2016-09-27,162.5,163.5,161.5,162.0,4750000.0
2016-09-28,162.5,163.0,160.0,160.0,5750000.0
2016-09-29,161.5,162.5,160.5,162.0,5340000.0
2016-09-30,161.5,161.5,160.0,160.0,4220000.0
2016-10-03,160.5,161.5,160.5,161.0,2310000.0
2016-10-04,161.0,163.0,161.0,163.0,4440000.0
2016-10-05,164.0,164.0,162.0,163.5,5080000.0
2016-10-06,163.5,163.5,161.0,161.5,6290000.0
2016-10-07,161.5,162.0,159.5,160.0,5750000.0
2016-10-10,155.0,158.0,155.0,156.0,12180000.0
2016-10-11,156.0,156.5,152.5,153.0,12670000.0
2016-10-12,152.0,153.0,141.0,150.0,23560000.0
2016-10-13,147.0,151.0,144.0,150.5,20200000.0
2016-10-14,158.0,158.5,155.0,157.0,14130000.0
2016-10-17,156.0,158.0,155.0,157.0,6270000.0
2016-10-18,156.5,157.0,155.0,155.5,6010000.0
2016-10-19,155.0,157.0,154.0,156.0,6710000.0
2016-10-20,156.5,157.0,156.0,156.5,5500000.0
2016-10-21,156.5,156.5,155.5,156.5,4270000.0
2016-10-25,156.5,158.0,156.0,156.5,5270000.0
2016-10-26,157.0,157.0,156.0,156.5,2120000.0
2016-10-27,156.0,157.0,155.5,156.0,3040000.0
2016-10-28,156.0,156.5,155.0,155.0,3560000.0
2016-10-31,154.5,155.0,153.0,153.5,4480000.0
2016-11-01,154.0,157.0,153.5,154.0,5260000.0
2016-11-02,154.5,155.5,154.0,154.0,1730000.0
2016-11-03,154.0,155.5,153.5,153.5,3330000.0
2016-11-04,153.0,154.5,152.0,153.0,5140000.0
2016-11-07,154.0,154.0,151.0,151.0,10210000.0
2016-11-08,152.0,154.5,151.5,153.0,9030000.0
2016-11-09,151.5,153.5,150.5,152.5,11010000.0
2016-11-10,153.0,153.5,150.5,150.5,9310000.0
2016-11-11,150.0,150.0,148.5,149.0,9500000.0
2016-11-14,148.0,148.5,146.0,146.0,10090000.0
2016-11-15,146.5,147.5,146.0,146.5,6680000.0
2016-11-16,147.0,147.5,143.5,144.0,11700000.0
2016-11-17,144.0,145.0,143.5,143.5,6040000.0
2016-11-18,143.5,144.5,143.0,143.5,6570000.0
2016-11-21,143.5,145.0,143.5,143.5,5120000.0
2016-11-22,144.0,144.0,142.0,142.0,7980000.0
2016-11-23,142.0,144.0,141.0,144.0,9740000.0
2016-11-24,144.0,146.0,143.0,143.5,5020000.0
2016-11-25,143.5,145.0,143.5,144.5,4150000.0
2016-11-28,145.0,145.5,144.5,144.5,2820000.0
2016-11-29,145.0,147.0,145.0,145.0,7920000.0
2016-11-30,145.0,145.5,144.0,144.5,6880000.0
2016-12-01,144.5,145.0,142.5,143.0,6520000.0
2016-12-02,142.5,143.5,141.5,142.0,4940000.0
2016-12-06,142.5,144.0,142.0,144.0,2720000.0
2016-12-07,144.5,146.0,143.5,145.5,5500000.0
2016-12-08,146.5,148.5,146.0,147.0,9190000.0
2016-12-09,148.5,148.5,147.0,147.0,3450000.0
2016-12-13,147.0,148.0,145.0,147.5,6090000.0
2016-12-14,147.5,147.5,146.5,146.5,2750000.0
2016-12-15,146.0,148.0,145.5,147.5,3720000.0
2016-12-16,147.0,147.5,146.5,146.5,3380000.0
2016-12-19,146.0,147.5,145.5,146.5,1960000.0
2016-12-20,146.5,147.0,145.0,145.0,3150000.0
2016-12-21,146.0,146.0,145.0,145.0,1870000.0
2016-12-22,145.5,145.5,144.5,145.0,2350000.0
2016-12-23,145.0,145.5,144.0,144.5,3360000.0
2016-12-26,145.0,145.5,144.5,145.0,2070000.0
2016-12-27,145.5,145.5,144.0,144.0,2080000.0
2016-12-28,144.5,145.0,144.0,144.5,2410000.0
2016-12-29,145.0,147.5,144.5,147.0,5940000.0
2016-12-30,147.0,148.0,147.0,147.0,3420000.0
2017-01-04,147.0,150.0,147.0,149.5,7240000.0
2017-01-05,150.5,154.0,150.0,153.5,15750000.0
2017-01-06,154.0,154.0,152.5,152.5,6740000.0
2017-01-09,153.0,153.0,150.5,151.0,5730000.0
2017-01-10,151.0,153.5,151.0,153.0,4840000.0
2017-01-11,153.5,156.5,153.0,155.0,12040000.0
2017-01-12,155.5,156.0,153.5,154.0,7290000.0
2017-01-13,154.5,155.5,153.0,155.0,4880000.0
2017-01-16,154.5,156.5,154.0,155.5,4750000.0
2017-01-17,155.0,156.5,154.5,156.5,5450000.0
2017-01-18,156.5,157.0,155.0,155.0,4460000.0
2017-01-19,155.0,156.0,154.5,155.0,3780000.0
2017-01-20,155.0,156.5,154.5,155.5,3760000.0
2017-01-23,155.5,156.5,155.0,155.0,1850000.0
2017-01-24,155.5,156.0,155.0,155.0,5030000.0
2017-01-25,155.5,162.0,155.0,161.5,17180000.0
2017-01-26,163.5,164.0,161.5,162.5,9660000.0
2017-01-27,162.0,164.5,161.0,163.0,7120000.0
2017-01-30,162.0,163.0,162.0,162.0,3390000.0
2017-01-31,161.0,161.0,158.5,159.0,8640000.0
2017-02-01,158.0,161.0,157.0,160.5,7200000.0
2017-02-02,160.5,161.5,160.0,160.5,2840000.0
2017-02-03,160.0,160.5,159.0,160.5,4850000.0
2017-02-06,160.5,162.0,158.5,161.5,9700000.0
2017-02-07,161.5,164.5,161.0,163.5,11260000.0
2017-02-08,164.0,171.0,163.5,170.5,28110000.0
2017-02-09,169.5,171.5,169.5,170.0,11460000.0
2017-02-10,170.5,171.0,168.5,169.0,13560000.0
2017-02-14,170.0,170.5,169.0,169.5,18110000.0
2017-02-15,168.5,170.5,168.0,169.0,19780000.0
2017-02-16,168.5,170.5,168.5,169.5,7250000.0
2017-02-17,170.5,174.0,170.5,171.5,14110000.0
2017-02-20,172.0,172.5,170.0,170.0,5760000.0
2017-02-21,170.0,170.5,168.0,168.0,6090000.0
2017-02-22,168.0,169.5,166.5,169.5,5840000.0
2017-02-23,168.5,170.5,168.0,169.0,6660000.0
2017-02-24,169.0,170.5,169.0,170.5,4160000.0
2017-02-27,169.0,170.5,169.0,169.0,6310000.0
2017-02-28,169.0,170.0,167.0,167.0,6190000.0
2017-03-01,167.5,170.5,167.0,170.0,5970000.0
2017-03-02,170.0,171.0,169.5,169.5,8770000.0
2017-03-03,170.0,171.0,169.5,169.5,5420000.0
2017-03-06,168.5,170.0,168.0,169.5,6450000.0
2017-03-07,169.0,171.5,168.5,169.5,7020000.0
2017-03-08,168.5,170.5,168.5,169.5,5640000.0
2017-03-09,170.0,171.0,168.5,169.0,8670000.0
2017-03-10,169.0,169.5,167.5,169.5,5650000.0
2017-03-13,170.0,170.5,169.5,170.5,5060000.0
2017-03-14,170.5,171.0,169.5,170.0,3290000.0
2017-03-15,170.0,171.0,169.5,171.0,5510000.0
2017-03-16,172.0,176.0,171.5,175.0,15800000.0
2017-03-17,175.5,176.5,174.5,176.0,9360000.0
2017-03-20,176.0,179.5,176.0,177.0,7830000.0
2017-03-21,177.5,178.5,177.0,177.0,3690000.0
2017-03-22,176.0,177.0,175.5,176.5,3740000.0
2017-03-23,177.5,178.0,176.5,176.5,6400000.0
2017-03-24,176.5,179.5,176.5,178.5,9180000.0
2017-03-27,179.5,179.5,178.0,178.0,3810000.0
2017-03-28,178.5,180.5,178.5,180.5,8550000.0
2017-03-29,180.0,181.0,178.5,179.0,4520000.0
2017-03-30,179.0,180.5,178.0,179.5,8580000.0
2017-03-31,179.5,180.0,178.0,178.0,3170000.0
2017-04-03,178.5,179.0,175.5,176.0,5460000.0
2017-04-04,175.0,175.5,173.5,174.0,8280000.0
2017-04-05,169.0,171.0,168.5,171.0,6940000.0
2017-04-07,171.5,175.0,171.0,174.5,6640000.0
2017-04-10,173.0,174.5,173.0,173.5,3500000.0
